OID_,pointid,grid_code,dCSI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDVI_NDBI,dCSI_cat
2078,2204,0.1172869,0.1513082,0.1338129,0.0754533,0.0358685,1.425323,0.0069781,0.1222499,0.1422872,21.9872894,143.8490601,3.0293622,0.1376789,2
2079,2205,0.1070796,0.1513082,0.1338129,0.0754533,0.0358685,1.425323,0.0069781,0.1222499,0.1422872,21.7316837,158.714035,2.9889197,0.1274716,2
2080,2206,0.1087352,0.1049503,0.1317829,0.0718254,0.0275823,1.3915508,0.0054546,0.1175267,0.1394369,21.6717987,185.9075775,2.7191479,0.1310105,1
2081,2207,0.1065217,0.1049503,0.1317829,0.0718254,0.0275823,1.3915508,0.0054546,0.1175267,0.1394369,21.6095219,213.0905762,2.4478443,0.128797,1
2082,2208,0.1353907,0.1781626,0.1543965,0.0566117,0.0146045,1.4283267,0.0054546,0.1253746,0.1581731,22.1294041,224.8136597,2.5138917,0.1688527,2
2083,2209,0.1474987,0.1781626,0.1543965,0.0566117,0.0146045,1.4283267,0.0015567,0.1253746,0.1581731,22.8247337,231.9162598,2.6824684,0.1809607,2
2084,2210,0.1255924,0.132063,0.1397663,0.071385,0.0319295,1.454445,0.0015567,0.1437352,0.1489662,23.5200634,239.0471497,2.8519874,0.1309378,2
2085,2211,0.1006897,0.132063,0.1397663,0.071385,0.0319295,1.454445,0.0015567,0.1437352,0.1489662,23.7859039,220.9509125,2.6121776,0.1060351,2
2086,2212,0.1455197,0.1855006,0.1562631,0.074348,0.0292747,1.466525,0.0086604,0.1398537,0.1528247,23.9972763,199.594162,2.3197157,0.1587739,2
2087,2213,0.1152691,0.1855006,0.1562631,0.074348,0.0292747,1.466525,0.0086604,0.1398537,0.1528247,24.2087746,178.2830353,2.0285389,0.1285233,2
2088,2214,0.1052142,0.2209009,0.1380499,0.0752729,0.0227728,1.432874,0.0086604,0.1475196,0.1574194,23.8654137,176.8656311,2.1858292,0.1153493,3
